"SubjectID","dSet","Subjects","Session","Hemisphere","Atlas","Finess","Region","AvgCortThickness","PialArea","SmoothPialArea","WhiteArea","GaussianCurvature","ConvexHullArea","PialFullArea","WhiteFullArea","SmoothPialFullArea","ConvexHullFullArea","PialVol","WhiteVol","GreymatterVol","PialFullVol","WhiteFullVol","GreymatterFullVol","SmoothPialFullVol","subject","At.log","Ae.log","T.log","K","I","S"
"sub-251","IDEAS","sub-251","ses-01","left","hemisphere","hemisphere","hemisphere",2.653314147,94801.21095,37405.45185,77058.49404,NA,39603.38062,100375.0349,82487.07915,40063.28756,42261.21633,NA,NA,261866.9201,1037599.784,775732.864,261866.9201,614784.0616,"sub-251",4.9768138848649,4.57293490529716,0.423788672610159,-0.52746041045147,10.3973261353824,8.98787297952451
"sub-251","IDEAS","sub-251","ses-01","right","hemisphere","hemisphere","hemisphere",2.660256299,95447.79327,37020.41223,76546.55562,NA,38949.01457,101389.8175,82283.73096,39658.21218,41586.81452,NA,NA,272462.8433,965204.1197,692741.2764,272462.8433,572603.0058,"sub-251",4.9797658920619,4.56844125040331,0.424923480194703,-0.518323930844893,10.3980541028546,8.98382411501916
"sub-026","IDEAS","sub-026","ses-01","left","hemisphere","hemisphere","hemisphere",2.526316171,105956.3227,38585.51039,86486.32452,NA,40586.74056,111416.246,91789.1101,41137.48278,43138.71294,NA,NA,287064.9633,1084087.131,797022.1677,287064.9633,604859.5217,"sub-026",5.02512687734498,4.58642424925604,0.402487702010268,-0.506659583219935,10.4165265306216,9.1663138439133
"sub-026","IDEAS","sub-026","ses-01","right","hemisphere","hemisphere","hemisphere",2.503224441,106920.9236,38750.51956,86806.4367,NA,40477.75882,112488.6232,92194.94499,41245.62587,42972.86513,NA,NA,287772.2951,1042266.34,754494.0449,287772.2951,600257.4771,"sub-026",5.02906270160574,4.58827752982371,0.398499790526285,-0.507034315410749,10.414339812482,9.19155314240811
"sub-263","IDEAS","sub-263","ses-01","right","hemisphere","hemisphere","hemisphere",2.624626321,84908.24473,34666.58551,69212.58003,NA,36823.59548,92735.24,76711.75344,39014.98171,41171.99168,NA,NA,240469.1705,990762.9465,750293.776,240469.1705,584007.6094,"sub-263",4.9289498629989,4.53991106786949,0.419067479825833,-0.536405231925045,10.3069958905201,8.91255443618422
"sub-263","IDEAS","sub-263","ses-01","left","hemisphere","hemisphere","hemisphere",2.630714695,83779.80954,34842.70717,68785.92829,NA,37387.35925,91965.50869,76659.90039,39195.69853,41740.35061,NA,NA,231095.9939,961213.2855,730117.2917,231095.9939,571499.6684,"sub-263",4.92313936872726,4.54211189097733,0.420073750744071,-0.54446361962236,10.3053987611927,8.90096109297558
"sub-264","IDEAS","sub-264","ses-01","right","hemisphere","hemisphere","hemisphere",2.597285625,76056.86592,32101.78562,62612.36301,NA,33640.59259,80637.64444,67010.34214,33995.98191,35534.78888,NA,NA,185907.5736,715396.8315,529489.2579,185907.5736,454017.3353,"sub-264",4.88113842544457,4.50652919014147,0.414519711870532,-0.544763206296996,10.2167070393271,8.83626582735556
"sub-264","IDEAS","sub-264","ses-01","left","hemisphere","hemisphere","hemisphere",2.550638512,74031.37336,30868.748,60895.20662,NA,32252.38727,77936.31058,64654.0522,32732.80206,34116.44133,NA,NA,181157.5478,708295.1178,527137.57,181157.5478,440893.0217,"sub-264",4.86941580607729,4.48951901536749,0.406648912797178,-0.539158506733485,10.1722326470391,8.84134286305425
"sub-267","IDEAS","sub-267","ses-01","right","hemisphere","hemisphere","hemisphere",2.722796391,113179.5654,41678.7377,89804.86852,NA,43736.4999,119073.5207,95422.6969,44668.68246,46726.44466,NA,NA,333197.8659,1149222.301,816024.4351,333197.8659,669024.0063,"sub-267",5.05376802194827,4.61991455726301,0.435015166286232,-0.503617591487375,10.5437129117837,9.08801970258162
"sub-267","IDEAS","sub-267","ses-01","left","hemisphere","hemisphere","hemisphere",2.666908163,110358.4346,42253.56779,90564.14668,NA,44414.83811,116009.0172,95979.29456,45110.23305,47271.50337,NA,NA,305835.8342,1179886.691,874050.8566,305835.8342,685014.9298,"sub-267",5.04280553151897,4.62586338561922,0.426008060688358,-0.526519670160885,10.5206850385149,9.11656956339526
"sub-270","IDEAS","sub-270","ses-01","right","hemisphere","hemisphere","hemisphere",2.808161557,100243.4191,35442.88425,77880.4182,NA,37387.87322,105047.9345,82509.43524,37519.99821,39464.98718,NA,NA,311196.2984,1014485.268,703288.9694,311196.2984,556642.3194,"sub-270",5.00105587114391,4.54952905641171,0.448422089674037,-0.461644404533706,10.4474291069037,8.89583119549148
