"SubjectID","lh_bankssts_area","lh_caudalanteriorcingulate_area","lh_caudalmiddlefrontal_area","lh_cuneus_area","lh_entorhinal_area","lh_fusiform_area","lh_inferiorparietal_area","lh_inferiortemporal_area","lh_isthmuscingulate_area","lh_lateraloccipital_area","lh_lateralorbitofrontal_area","lh_lingual_area","lh_medialorbitofrontal_area","lh_middletemporal_area","lh_parahippocampal_area","lh_paracentral_area","lh_parsopercularis_area","lh_parsorbitalis_area","lh_parstriangularis_area","lh_pericalcarine_area","lh_postcentral_area","lh_posteriorcingulate_area","lh_precentral_area","lh_precuneus_area","lh_rostralanteriorcingulate_area","lh_rostralmiddlefrontal_area","lh_superiorfrontal_area","lh_superiorparietal_area","lh_superiortemporal_area","lh_supramarginal_area","lh_frontalpole_area","lh_temporalpole_area","lh_transversetemporal_area","lh_insula_area","lh_WhiteSurfArea_area","BrainSegVolNotVent","eTIV"
"sub-385",828,511,2032,1056,335,2899,3677,2627,749,4314,2124,2873,1783,2399,587,1274,1379,640,1188,1125,3704,907,4626,2714,674,4376,6393,4355,3122,3155,264,480,410,2006,71583.1,958688,1410000
"sub-387",857,797,2293,1438,337,2912,4841,3537,1136,4647,3048,2783,2109,3256,535,1235,1958,812,1476,1274,4344,1122,4635,4156,829,5644,7018,5917,3867,4401,238,530,538,2312,86833.3,1190000,1550000
"sub-388",861,820,2446,1520,385,4084,5225,4325,1009,5377,2483,2952,1802,3890,771,1365,1809,731,1596,1122,4915,1235,4982,4339,1001,6722,7584,6167,3708,4402,148,441,589,2941,93748.2,1320000,1370000
"sub-389",918,576,2703,1712,370,3592,4829,3494,1270,6554,2862,3431,2094,3397,690,1597,1953,749,1565,1397,4678,1404,5009,4809,744,5847,7316,6734,4503,4839,314,512,487,2497,95446,1210000,1590000
"sub-039",573,402,1734,1611,390,2347,3612,2960,685,4526,2285,2845,1813,2417,445,1262,1092,602,931,1337,3484,888,4465,3147,730,4351,5640,4918,3020,2660,229,420,297,1861,69981.2,866721,1210000
"sub-394",731,484,2127,1374,441,2925,3655,3278,894,5013,1827,2888,1854,2316,534,1156,1439,529,1191,1346,3803,808,4331,2851,768,4562,6267,4423,3323,3100,221,459,446,2236,73601.2,953268,1480000
"sub-397",971,593,2303,1560,336,3200,4016,3407,719,5259,2232,2834,1765,3227,538,1334,1349,647,1241,1277,3755,1026,4815,3665,812,5241,7875,5327,3738,4354,259,387,504,2099,82666.9,1070000,1340000
"sub-399",710,776,2408,1207,423,2841,3338,3081,925,4107,2435,3131,1857,2734,605,1039,1372,651,1110,1190,3304,1006,3927,3707,754,5701,6603,5796,3277,4340,235,412,420,1961,77386.3,1020000,1390000
"sub-400",824,334,1726,1383,395,2358,3865,2397,713,4298,1740,2238,1526,2497,505,951,1038,447,830,1011,3770,796,4055,2753,321,3522,5367,4342,3229,2971,279,343,406,1823,65050.7,893706,1300000
"sub-401",899,642,1950,1411,347,2600,4915,2604,907,4721,2304,3276,1817,2619,660,1272,1521,679,1177,1147,3789,1138,4239,3243,721,4649,6770,4789,2933,3060,257,359,353,1999,75768.8,1130000,1600000
"sub-405",1162,492,2541,1184,333,3115,5118,4036,768,5131,2308,3076,1599,4213,668,1151,1666,725,1304,1276,3599,1140,4476,3678,783,5716,7222,5682,4612,3603,284,303,490,2663,86117.1,1170000,1700000
"sub-406",862,923,2525,1755,506,3492,4981,3773,1055,5186,2852,3005,1957,2912,717,1425,1588,802,1393,1404,4336,1303,4991,3932,1013,5573,7246,6247,3517,3867,273,540,454,2125,88527.8,1050000,1390000
"sub-407",990,588,2209,1209,338,3750,3683,3347,683,4359,2116,2389,1465,3085,684,1227,1467,663,1130,1138,3489,879,4345,3534,580,4763,6600,4871,3801,3393,165,411,487,2180,76020.2,1080000,1500000
"sub-408",790,578,2050,1166,527,3063,4352,3120,799,4596,2706,2745,1836,2786,656,1345,1398,596,1143,939,3475,895,4284,3113,718,5018,6532,5673,3569,2985,276,494,394,2149,76766.1,1050000,1390000
"sub-041",1125,834,2902,1529,561,3411,4653,3056,817,5538,2227,3202,1646,3390,715,1363,1468,768,1239,1252,4199,977,5281,3198,686,5693,8243,4775,4153,4001,228,301,397,2114,85943.1,1230000,1540000
"sub-413",902,629,2745,1782,507,3000,3568,3105,723,4362,2444,3020,1886,3004,648,1264,1959,654,1503,1338,3899,943,5260,3173,879,4779,6761,4951,3878,4197,283,464,483,1861,80857.9,1030000,1210000
"sub-417",846,591,1597,1961,407,2848,3497,3490,1176,4752,2479,3387,1817,3243,608,964,1315,751,1370,1762,3747,1112,3895,3435,616,5883,7288,5503,3484,4094,255,498,379,2456,81507.3,1110000,1540000
"sub-425",818,659,2702,1794,345,3164,3346,2669,974,5471,2789,3434,2277,2931,552,1427,1801,692,1595,1542,4129,1198,5298,4126,856,6806,7909,5859,3926,5244,225,400,439,2254,89649.5,1270000,1730000
"sub-426",952,602,2359,1592,324,2494,3852,2112,821,4398,2447,2744,1735,2661,606,1242,1658,697,1136,1485,4460,1041,4946,3567,809,5914,7184,5137,3904,4080,281,546,528,2265,80577.9,1140000,1690000
"sub-427",958,452,2044,1366,258,2827,3398,3372,649,3900,2096,2559,1806,3006,588,1131,1176,629,961,1064,3768,818,3824,3694,447,4727,6170,5082,3298,3713,219,347,384,2014,72747.1,1060000,1510000
"sub-043",1143,510,2056,1120,272,3089,3776,3576,747,4477,2188,2592,1733,3507,688,1350,1467,605,995,961,4109,1022,4526,3148,540,5335,7827,4446,4289,4361,258,391,480,2213,79795.7,1040000,1500000
"sub-430",1005,633,2430,1852,606,3745,4971,3135,1006,5909,2835,3559,2150,2941,623,1570,1891,754,1672,1742,4291,1258,5267,4446,1239,7544,8030,6406,4279,5176,335,450,677,2645,97072.1,1260000,1870000
